microtrait_trait-name	microtrait_trait-displaynameshort	microtrait_trait-displaynamelong	microtrait_trait-strategy	microtrait_trait-type	microtrait_trait-granularity	microtrait_trait-version	microtrait_trait-displayorder
Resource Use:Phototrophy:pigments:core	Core pigments	Resource Use:Phototrophy:pigments:core	Resource Use	binary	1	production	28
Resource Use:Phototrophy:pigments:accessory	Accessory pigments	Resource Use:Phototrophy:pigments:accessory	Resource Use	binary	1	production	29
Stress Tolerance:General	General stress tolerance	Stress Tolerance:General	Stress Tolerance	count	1	production	30
Stress Tolerance:Specific:temperature:high	High temperature tolerance	Stress Tolerance:Specific:temperature:high	Stress Tolerance	count	1	production	31
Stress Tolerance:Specific:temperature:low	Low temperature tolerance	Stress Tolerance:Specific:temperature:low	Stress Tolerance	count	1	production	32
Stress Tolerance:Specific:desiccation/osmotic/salt stress	Desiccation/osmotic/salt stress tolerance	Stress Tolerance:Specific:desiccation/osmotic/salt stress	Stress Tolerance	count	1	production	33
Stress Tolerance:Specific:pH stress	pH stress tolerance	Stress Tolerance:Specific:pH stress	Stress Tolerance	count	1	production	34
Stress Tolerance:Specific:oxidative stress	Oxidative stress tolerance	Stress Tolerance:Specific:oxidative stress	Stress Tolerance	count	1	production	35
Stress Tolerance:Specific:oxygen limitation	Oxygen limitation tolerance	Stress Tolerance:Specific:oxygen limitation	Stress Tolerance	count	1	production	36
Stress Tolerance:Specific:envelope stress	Envelope stress tolerance	Stress Tolerance:Specific:envelope stress	Stress Tolerance	count	1	production	37
Resource Acquisition:Substrate uptake:aromatic acid transport	Aromatic acid transport	Resource Acquisition:Substrate uptake:aromatic acid transport	Resource Acquisition	count	2	production	1
Resource Acquisition:Substrate uptake:biopolymer transport	Biopolymer transport	Resource Acquisition:Substrate uptake:biopolymer transport	Resource Acquisition	count	2	production	2
Resource Acquisition:Substrate uptake:carbohydrate transport:amino sugar transport	Carbohydrate transport:amino sugar transport	Resource Acquisition:Substrate uptake:carbohydrate transport:amino sugar transport	Resource Acquisition	count	2	production	3
Resource Acquisition:Substrate uptake:carbohydrate transport:carbohydrate acid transport	Carbohydrate transport:carbohydrate acid transport	Resource Acquisition:Substrate uptake:carbohydrate transport:carbohydrate acid transport	Resource Acquisition	count	2	production	4
Resource Acquisition:Substrate uptake:carbohydrate transport:carbohydrate derivative transport	Carbohydrate transport:carbohydrate derivative transport	Resource Acquisition:Substrate uptake:carbohydrate transport:carbohydrate derivative transport	Resource Acquisition	count	2	production	5
Resource Acquisition:Substrate uptake:carbohydrate transport:carbohydrate phosphate transport	Carbohydrate transport:carbohydrate phosphate transport	Resource Acquisition:Substrate uptake:carbohydrate transport:carbohydrate phosphate transport	Resource Acquisition	count	2	production	6
Resource Acquisition:Substrate uptake:carbohydrate transport:monosaccharide transport	Carbohydrate transport:monosaccharide transport	Resource Acquisition:Substrate uptake:carbohydrate transport:monosaccharide transport	Resource Acquisition	count	2	production	7
Resource Acquisition:Substrate uptake:carbohydrate transport:oligosaccharide transport	Carbohydrate transport:oligosaccharide transport	Resource Acquisition:Substrate uptake:carbohydrate transport:oligosaccharide transport	Resource Acquisition	count	2	production	8
Resource Acquisition:Substrate uptake:carbohydrate transport:polysaccharide transport	Carbohydrate transport:polysaccharide transport	Resource Acquisition:Substrate uptake:carbohydrate transport:polysaccharide transport	Resource Acquisition	count	2	production	9
Resource Acquisition:Substrate uptake:carbohydrate transport:sugar alcohol transport	Carbohydrate transport:sugar alcohol transport	Resource Acquisition:Substrate uptake:carbohydrate transport:sugar alcohol transport	Resource Acquisition	count	2	production	10
Resource Acquisition:Substrate uptake:carboxylate transport:dicarboxylate transport	Carboxylate transport:dicarboxylate transport	Resource Acquisition:Substrate uptake:carboxylate transport:dicarboxylate transport	Resource Acquisition	count	2	production	11
Resource Acquisition:Substrate uptake:carboxylate transport:monocarboxylate transport	Carboxylate transport:monocarboxylate transport	Resource Acquisition:Substrate uptake:carboxylate transport:monocarboxylate transport	Resource Acquisition	count	2	production	12
Resource Acquisition:Substrate uptake:carboxylate transport:tricarboxylate transport	Carboxylate transport:tricarboxylate transport	Resource Acquisition:Substrate uptake:carboxylate transport:tricarboxylate transport	Resource Acquisition	count	2	production	13
Resource Acquisition:Substrate uptake:free amino acids transport	Free amino acids transport	Resource Acquisition:Substrate uptake:free amino acids transport	Resource Acquisition	count	2	production	14
Resource Acquisition:Substrate uptake:ion transport:inorganic transport	Ion transport:inorganic transport	Resource Acquisition:Substrate uptake:ion transport:inorganic transport	Resource Acquisition	count	2	production	15
Resource Acquisition:Substrate uptake:ion transport:metal transport	Ion transport:metal transport	Resource Acquisition:Substrate uptake:ion transport:metal transport	Resource Acquisition	count	2	production	16
Resource Acquisition:Substrate uptake:lipid transport	Lipid transport	Resource Acquisition:Substrate uptake:lipid transport	Resource Acquisition	count	2	production	17
Resource Acquisition:Substrate uptake:lipid transport:cell membrane lipid transport	Cell membrane lipid transport	Resource Acquisition:Substrate uptake:lipid transport:cell membrane lipid transport	Resource Acquisition	count	2	production	18
Resource Acquisition:Substrate uptake:lipid transport:lipid precursor transport	Lipid precursor transport	Resource Acquisition:Substrate uptake:lipid transport:lipid precursor transport	Resource Acquisition	count	2	production	19
Resource Acquisition:Substrate uptake:N compound transport:amide transport	Amide transport	Resource Acquisition:Substrate uptake:N compound transport:amide transport	Resource Acquisition	count	2	production	20
Resource Acquisition:Substrate uptake:N compound transport:ammonium transport	Ammonium transport	Resource Acquisition:Substrate uptake:N compound transport:ammonium transport	Resource Acquisition	count	2	production	21
Resource Acquisition:Substrate uptake:N compound transport:nitrate transport	Nitrate transport	Resource Acquisition:Substrate uptake:N compound transport:nitrate transport	Resource Acquisition	count	2	production	22
Resource Acquisition:Substrate uptake:N compound transport:nitrite transport	Nitrite transport	Resource Acquisition:Substrate uptake:N compound transport:nitrite transport	Resource Acquisition	count	2	production	23
Resource Acquisition:Substrate uptake:N compound:nitrogen transport	Nitrogen transport	Resource Acquisition:Substrate uptake:N compound:nitrogen transport	Resource Acquisition	count	2	production	24
Resource Acquisition:Substrate uptake:N compound:urea transport	Urea transport	Resource Acquisition:Substrate uptake:N compound:urea transport	Resource Acquisition	count	2	production	25
Resource Acquisition:Substrate uptake:N compound:uric acid transport	Uric acid transport	Resource Acquisition:Substrate uptake:N compound:uric acid transport	Resource Acquisition	count	2	production	26
Resource Acquisition:Substrate uptake:nucleic acid component transport:nucleobase transport	Nucleobase transport	Resource Acquisition:Substrate uptake:nucleic acid component transport:nucleobase transport	Resource Acquisition	count	2	production	27
Resource Acquisition:Substrate uptake:nucleic acid component transport:nucleoside transport	Nucleoside transport	Resource Acquisition:Substrate uptake:nucleic acid component transport:nucleoside transport	Resource Acquisition	count	2	production	28
Resource Acquisition:Substrate uptake:nucleic acid component transport:nucleotide transport	Nucleotide transport	Resource Acquisition:Substrate uptake:nucleic acid component transport:nucleotide transport	Resource Acquisition	count	2	production	29
Resource Acquisition:Substrate uptake:nucleic acid component transport:ribonucleoside transport	Ribonucleoside transport	Resource Acquisition:Substrate uptake:nucleic acid component transport:ribonucleoside transport	Resource Acquisition	count	2	production	30
Resource Acquisition:Substrate uptake:organophosphorus compound transport	Organophosphorus compound transport	Resource Acquisition:Substrate uptake:organophosphorus compound transport	Resource Acquisition	count	2	production	31
Resource Acquisition:Substrate uptake:osmolyte transport	Osmolyte transport	Resource Acquisition:Substrate uptake:osmolyte transport	Resource Acquisition	count	2	production	32
Resource Acquisition:Substrate uptake:other transport	Other transport	Resource Acquisition:Substrate uptake:other transport	Resource Acquisition	count	2	production	33
Resource Acquisition:Substrate uptake:peptide transport	Peptide transport	Resource Acquisition:Substrate uptake:peptide transport	Resource Acquisition	count	2	production	34
Resource Acquisition:Substrate uptake:S compound transport	S compound transport	Resource Acquisition:Substrate uptake:S compound transport	Resource Acquisition	count	2	production	35
Resource Acquisition:Substrate uptake:secondary metabolite transport:siderophore-based transport	Siderophore-based transport	Resource Acquisition:Substrate uptake:secondary metabolite transport:siderophore-based transport	Resource Acquisition	count	2	production	36
Resource Acquisition:Substrate uptake:vitamin transport:vitamin B transport	Vitamin B transport	Resource Acquisition:Substrate uptake:vitamin transport:vitamin B transport	Resource Acquisition	count	2	production	37
Resource Acquisition:Substrate uptake:vitamin transport:vitamin C transport	Vitamin C transport	Resource Acquisition:Substrate uptake:vitamin transport:vitamin C transport	Resource Acquisition	count	2	production	38
Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization:cellulose breakdown	Complex carbohydrate depolymerization by cellulose breakdown	Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization:cellulose breakdown	Resource Acquisition	count	2	production	39
Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization:chitin breakdown	Complex carbohydrate depolymerization by chitin breakdown	Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization:chitin breakdown	Resource Acquisition	count	2	production	40
Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization:heteromannan breakdown	Complex carbohydrate depolymerization by heteromannan breakdown	Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization:heteromannan breakdown	Resource Acquisition	count	2	production	41
Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization:mixed linkage glucan breakdown	Complex carbohydrate depolymerization by mixed linkage glucan breakdown	Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization:mixed linkage glucan breakdown	Resource Acquisition	count	2	production	42
Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization:xylan and heteroxylan breakdown	Complex carbohydrate depolymerization by xylan and heteroxylan breakdown	Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization:xylan and heteroxylan breakdown	Resource Acquisition	count	2	production	43
Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization:xyloglucan breakdown	Complex carbohydrate depolymerization by xyloglucan breakdown	Resource Acquisition:Substrate degradation:complex carbohydrate depolymerization:xyloglucan breakdown	Resource Acquisition	count	2	production	44
Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Protein degradation	Resource Acquisition:Substrate degradation:simple compound degradation:protein degradation	Resource Acquisition	count	2	production	45
Resource Acquisition:Substrate degradation:simple compound degradation:carbohydrate degradation	Carbohydrate degradation	Resource Acquisition:Substrate degradation:simple compound degradation:carbohydrate degradation	Resource Acquisition	binary	2	production	46
Resource Acquisition:Substrate degradation:simple compound degradation:sugar acid degradation	Sugar acid degradation	Resource Acquisition:Substrate degradation:simple compound degradation:sugar acid degradation	Resource Acquisition	binary	2	production	47
Resource Acquisition:Substrate degradation:simple compound degradation:alcohol degradation	Alcohol degradation	Resource Acquisition:Substrate degradation:simple compound degradation:alcohol degradation	Resource Acquisition	binary	2	production	48
Resource Acquisition:Substrate degradation:simple compound degradation:phenol degradation	Phenol degradation	Resource Acquisition:Substrate degradation:simple compound degradation:phenol degradation	Resource Acquisition	binary	2	production	49
Resource Acquisition:Substrate assimilation:C1 compounds:CO2 fixation	Substrate Assimilation of C1 compounds by CO2 fixation	Resource Acquisition:Substrate assimilation:C1 compounds:CO2 fixation	Resource Acquisition	binary	2	production	50
Resource Acquisition:Substrate assimilation:C1 compounds:methanotrophy	Substrate Assimilation of C1 compounds by methanotrophy	Resource Acquisition:Substrate assimilation:C1 compounds:methanotrophy	Resource Acquisition	binary	2	production	51
Resource Acquisition:Substrate assimilation:N compounds:assimilatory nitrate reduction	Substrate Assimilation of N compounds by assimilatory nitrate reduction	Resource Acquisition:Substrate assimilation:N compounds:assimilatory nitrate reduction	Resource Acquisition	binary	2	production	52
Resource Acquisition:Substrate assimilation:N compounds:nitrogen fixation	Substrate Assimilation of N compounds by nitrogen fixation	Resource Acquisition:Substrate assimilation:N compounds:nitrogen fixation	Resource Acquisition	binary	2	production	53
Resource Acquisition:Substrate assimilation:N compounds:ammonia assimilation	Substrate Assimilation of N compounds by ammonia assimilation	Resource Acquisition:Substrate assimilation:N compounds:ammonia assimilation	Resource Acquisition	binary	2	production	54
Resource Acquisition:Substrate assimilation:S compounds:assimilatory sulfate reduction	Substrate Assimilation of S compounds by assimilatory sulfate reduction	Resource Acquisition:Substrate assimilation:S compounds:assimilatory sulfate reduction	Resource Acquisition	binary	2	production	55
Resource Acquisition:Substrate assimilation:P compounds	Substrate Assimilation of P compounds	Resource Acquisition:Substrate assimilation:P compounds	Resource Acquisition	binary	2	production	56
Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation:fermentation of pyruvate	Fermentation of pyruvate	Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation:fermentation of pyruvate	Resource Use	binary	2	production	57
Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation:fermentation of acetylene	Fermentation of acetylene	Resource Use:Chemotrophy:chemoorganoheterotrophy:fermentation:fermentation of acetylene	Resource Use	binary	2	production	58
Resource Use:Chemotrophy:chemoorganoheterotrophy:aerobic respiration	Aerobic respiration	Resource Use:Chemotrophy:chemoorganoheterotrophy:aerobic respiration	Resource Use	binary	2	production	59
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:N (denitrification)	Denitrification	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:N (denitrification)	Resource Use	binary	2	production	60
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:S compounds	Anaerobic respiration of sulfur compounds	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:S compounds	Resource Use	binary	2	production	61
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:Fe	Anaerobic respiration of Fe	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:Fe	Resource Use	binary	2	production	62
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:As	Anaerobic respiration of As	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:As	Resource Use	binary	2	production	63
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:Se	Anaerobic respiration of Se	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:Se	Resource Use	binary	2	production	64
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:hydrogenotrophic methanogenesis	Hydrogenotrophic methanogenesis	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:hydrogenotrophic methanogenesis	Resource Use	binary	2	production	65
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:acetoclastic methanogenesis	Acetoclastic methanogenesis	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:acetoclastic methanogenesis	Resource Use	binary	2	production	66
Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:methylotrophic methanogenesis	Methylotrophic methanogenesis	Resource Use:Chemotrophy:chemolithoheterotrophy:anaerobic respiration:methylotrophic methanogenesis	Resource Use	binary	2	production	67
Resource Use:Chemotrophy:chemolithoautotrophy:N compounds as electron donor:ammonia oxidation	Ammonia oxidation	Resource Use:Chemotrophy:chemolithoautotrophy:N compounds as electron donor:ammonia oxidation	Resource Use	binary	2	production	68
Resource Use:Chemotrophy:chemolithoautotrophy:N compounds as electron donor:nitrite oxidation	Nitrite oxidation	Resource Use:Chemotrophy:chemolithoautotrophy:N compounds as electron donor:nitrite oxidation	Resource Use	binary	2	production	69
Resource Use:Chemotrophy:chemolithoautotrophy:S compounds as electron donor	Sulfur compound oxidation	Resource Use:Chemotrophy:chemolithoautotrophy:S compounds as electron donor	Resource Use	binary	2	production	70
Resource Use:Chemotrophy:chemolithoautotrophy:Fe compounds as electron donor	Iron oxidation	Resource Use:Chemotrophy:chemolithoautotrophy:Fe compounds as electron donor	Resource Use	binary	2	production	71
Resource Use:Chemotrophy:chemolithoautotrophy:H as electron donor	Hydrogenotrophy	Resource Use:Chemotrophy:chemolithoautotrophy:H as electron donor	Resource Use	binary	2	production	72
Resource Use:Phototrophy:photosystem:oxygenic	Oxygen photosystem	Resource Use:Phototrophy:photosystem:oxygenic	Resource Use	binary	2	production	73
Resource Use:Phototrophy:photosystem:anoxygenic	Anoxygenic photosystem	Resource Use:Phototrophy:photosystem:anoxygenic	Resource Use	binary	2	production	74
Resource Use:Phototrophy:pigments:core	Core photopigments	Resource Use:Phototrophy:pigments:core	Resource Use	binary	2	production	75
Resource Use:Phototrophy:pigments:core:anoxygenic	Anoxygenic core photopigments	Resource Use:Phototrophy:pigments:core:anoxygenic	Resource Use	binary	2	production	76
Resource Use:Phototrophy:pigments:accessory:carotenoid:carotene	Carotene synthesis	Resource Use:Phototrophy:pigments:accessory:carotenoid:carotene	Resource Use	binary	2	production	77
Resource Use:Phototrophy:pigments:accessory:carotenoid:xanthophyll	Xanthophyll synthesis	Resource Use:Phototrophy:pigments:accessory:carotenoid:xanthophyll	Resource Use	binary	2	production	78
Resource Use:Phototrophy:pigments:accessory:phycobiliprotein	Phycobiliprotein synthesis	Resource Use:Phototrophy:pigments:accessory:phycobiliprotein	Resource Use	binary	2	production	79
Stress Tolerance:General:scavenging of reactive oxygen species	General stress tolerance by scavenging of reactive oxygen species	Stress Tolerance:General:scavenging of reactive oxygen species	Stress Tolerance	count	2	production	80
Stress Tolerance:General:protection, repair, degradation of denatured/misfolded proteins	General stress tolerance by protection, repair, degradation of denatured/misfolded proteins	Stress Tolerance:General:protection, repair, degradation of denatured/misfolded proteins	Stress Tolerance	count	2	production	81
Stress Tolerance:General:biofilm formation	General stress tolerance by biofilm formation	Stress Tolerance:General:biofilm formation	Stress Tolerance	count	2	production	82
Stress Tolerance:Specific:temperature:high:protection, repair, degradation of denatured/misfolded proteins	High temperature  tolerance  by protection, repair, degradation of denatured/misfolded proteins	Stress Tolerance:Specific:temperature:high:protection, repair, degradation of denatured/misfolded proteins	Stress Tolerance	count	2	production	83
Stress Tolerance:Specific:temperature:high:heat-induced transcriptional regulation	High temperature  tolerance  by heat-induced transcriptional regulation	Stress Tolerance:Specific:temperature:high:heat-induced transcriptional regulation	Stress Tolerance	count	2	production	84
Stress Tolerance:Specific:temperature:low:membrane stabilization	Low temperature  tolerance by membrane stabilization	Stress Tolerance:Specific:temperature:low:membrane stabilization	Stress Tolerance	count	2	production	85
Stress Tolerance:Specific:temperature:low:destabilization of secondary structures in mRNAs	Low temperature  tolerance by destabilization of secondary structures in mrnas	Stress Tolerance:Specific:temperature:low:destabilization of secondary structures in mRNAs	Stress Tolerance	count	2	production	86
Stress Tolerance:Specific:temperature:low:cold-sensing machinery	Low temperature tolerance by cold-sensing	Stress Tolerance:Specific:temperature:low:cold-sensing machinery	Stress Tolerance	count	2	production	87
Stress Tolerance:Specific:desiccation/osmotic/salt stress:accumulation of compatible solutes	Desiccation/osmotic/salt stress tolerance by accumulation of compatible solutes	Stress Tolerance:Specific:desiccation/osmotic/salt stress:accumulation of compatible solutes	Stress Tolerance	count	2	production	88
Stress Tolerance:Specific:desiccation/osmotic/salt stress:enhancement of microenvironment	Desiccation/osmotic/salt stress tolerance by enhancement of microenvironment	Stress Tolerance:Specific:desiccation/osmotic/salt stress:enhancement of microenvironment	Stress Tolerance	count	2	production	89
Stress Tolerance:Specific:desiccation/osmotic/salt stress:osmotic sensing	Desiccation/osmotic/salt stress tolerance by osmotic sensing	Stress Tolerance:Specific:desiccation/osmotic/salt stress:osmotic sensing	Stress Tolerance	count	2	production	90
Stress Tolerance:Specific:pH stress:protection, repair, degradation of denatured/misfolded proteins	pH stress tolerance by protection, repair, degradation of denatured/misfolded proteins	Stress Tolerance:Specific:pH stress:protection, repair, degradation of denatured/misfolded proteins	Stress Tolerance	count	2	production	91
Stress Tolerance:Specific:pH stress:membrane stabilization	pH stress tolerance by membrane stabilization	Stress Tolerance:Specific:pH stress:membrane stabilization	Stress Tolerance	count	2	production	92
Stress Tolerance:Specific:pH stress:redox sensing	pH stress tolerance by redox sensing	Stress Tolerance:Specific:pH stress:redox sensing	Stress Tolerance	count	2	production	93
Stress Tolerance:Specific:pH stress:consumption of excessive cytoplasmic protons	pH stress tolerance by consumption of excessive cytoplasmic protons	Stress Tolerance:Specific:pH stress:consumption of excessive cytoplasmic protons	Stress Tolerance	count	2	production	94
Stress Tolerance:Specific:oxidative stress:scavenging of reactive oxygen species	Oxidative stress tolerance by scavenging of reactive oxygen species	Stress Tolerance:Specific:oxidative stress:scavenging of reactive oxygen species	Stress Tolerance	count	2	production	95
Stress Tolerance:Specific:oxidative stress:redox sensing	Oxidative stress tolerance by redox sensing	Stress Tolerance:Specific:oxidative stress:redox sensing	Stress Tolerance	count	2	production	96
Stress Tolerance:Specific:oxygen limitation:redox sensing	Oxygen limitation tolerance by redox sensing	Stress Tolerance:Specific:oxygen limitation:redox sensing	Stress Tolerance	count	2	production	97
Stress Tolerance:Specific:oxygen limitation:oxygen sensing	Oxygen limitation tolerance by oxygen sensing	Stress Tolerance:Specific:oxygen limitation:oxygen sensing	Stress Tolerance	count	2	production	98
Stress Tolerance:Specific:envelope stress:misfolded protein/secretion stress sensing	Envelope stress tolerance by misfolded protein/secretion stress sensing	Stress Tolerance:Specific:envelope:misfolded protein/secretion stress sensing	Stress Tolerance	count	2	production	99
Stress Tolerance:Specific:envelope stress:phage resistance	Envelope stress tolerance by phage resistance	Stress Tolerance:Specific:envelope:pH stressage resistance	Stress Tolerance	count	2	production	100
Resource Acquisition:Substrate uptake:aromatic acid transport	Aromatic acid transport	Resource Acquisition:Substrate uptake:aromatic acid transport	Resource Acquisition	count	3	production	1
Resource Acquisition:Substrate uptake:biopolymer transport	Biopolymer transport	Resource Acquisition:Substrate uptake:biopolymer transport	Resource Acquisition	count	3	production	2
Resource Acquisition:Substrate uptake:carbohydrate transport:amino sugar transport	Amino sugar transport	Resource Acquisition:Substrate uptake:carbohydrate transport:amino sugar transport	Resource Acquisition	count	3	production	3
Resource Acquisition:Substrate uptake:carbohydrate transport:carbohydrate acid transport	Carbohydrate acid transport	Resource Acquisition:Substrate uptake:carbohydrate transport:carbohydrate acid transport	Resource Acquisition	count	3	production	4
Resource Acquisition:Substrate uptake:carbohydrate transport:carbohydrate derivative transport:glycoside transport	Glycoside transport	Resource Acquisition:Substrate uptake:carbohydrate transport:carbohydrate derivative transport:glycoside transport	Resource Acquisition	count	3	production	5
Resource Acquisition:Substrate uptake:carbohydrate transport:carbohydrate phosphate transport	Carbohydrate phosphate transport	Resource Acquisition:Substrate uptake:carbohydrate transport:carbohydrate phosphate transport	Resource Acquisition	count	3	production	6
Resource Acquisition:Substrate uptake:carbohydrate transport:monosaccharide transport	Monosaccharide transport	Resource Acquisition:Substrate uptake:carbohydrate transport:monosaccharide transport	Resource Acquisition	count	3	production	7
Resource Acquisition:Substrate uptake:carbohydrate transport:oligosaccharide transport	Oligosaccharide transport	Resource Acquisition:Substrate uptake:carbohydrate transport:oligosaccharide transport	Resource Acquisition	count	3	production	8
Resource Acquisition:Substrate uptake:carbohydrate transport:oligosaccharide transport:disaccharide transport	Disaccharide transport	Resource Acquisition:Substrate uptake:carbohydrate transport:oligosaccharide transport:disaccharide transport	Resource Acquisition	count	3	production	9
Resource Acquisition:Substrate uptake:carbohydrate transport:oligosaccharide transport:tetrasaccharide transport	Tetrasaccharide transport	Resource Acquisition:Substrate uptake:carbohydrate transport:oligosaccharide transport:tetrasaccharide transport	Resource Acquisition	count	3	production	10
Resource Acquisition:Substrate uptake:carbohydrate transport:oligosaccharide transport:trisaccharide transport	Trisaccharide transport	Resource Acquisition:Substrate uptake:carbohydrate transport:oligosaccharide transport:trisaccharide transport	Resource Acquisition	count	3	production	11
