faprotax_taxa	ncbi_taxa	rank
Flavobacterium aquatile	Flavobacterium aquatile	species
Flavobacterium denitrificans	Flavobacterium denitrificans	species
Flavobacterium frigidarium	Flavobacterium frigidarium	species
Flavobacterium glaciei	Flavobacterium glaciei	species
Flavobacterium hercynium	Flavobacterium hercynium	species
Flavobacterium hibernum	Flavobacterium hibernum	species
Flavobacterium hydatis	Flavobacterium hydatis	species
Flavobacterium johnsoniae	Flavobacterium johnsoniae	species
Flavobacterium limicola	Flavobacterium limicola	species
Flavobacterium omnivorum	Flavobacterium omnivorum	species
Flavobacterium pectinovorum	Flavobacterium pectinovorum	species
Flavobacterium saccharophilum	Flavobacterium saccharophilum	species
Flavobacterium succinicans	Flavobacterium succinicans	species
Flectobacillus major	Flectobacillus major	species
Fluviicola taffensis	Fluviicola taffensis	species
Fodinibacter luteus	Fodinibacter luteus	species
Fodinicola feengrottensis	Fodinicola feengrottensis	species
Formivibrio citricus	Formivibrio citricus	species
Formosa algae	Formosa algae	species
Francisella halioticida	Francisella halioticida	species
Francisella tularensis	Francisella tularensis	species
Francisellaceae	Francisellaceae	family
Frigoribacterium faeni	Frigoribacterium faeni	species
Fuchsiella alkaliacetigena	Fuchsiella alkaliacetigena	species
Fusibacter paucivorans	Fusibacter paucivorans	species
Fusobacterium ulcerans	Fusobacterium ulcerans	species
Gaiella occulta	Gaiella occulta	species
Gallionella capsiferriformans	Gallionella capsiferriformans	species
Gallionella ferruginea	Gallionella ferruginea	species
Garciella nitratireducens	Garciella nitratireducens	species
Gardnerella vaginalis	Gardnerella vaginalis	species
Gelidibacter algens	Gelidibacter algens	species
Gelidibacter mesophilus	Gelidibacter mesophilus	species
Gemmatimonas aurantiaca	Gemmatimonas aurantiaca	species
Gemmiger formicilis	Gemmiger formicilis	species
Geoalkalibacter ferrihydriticus	Geoalkalibacter ferrihydriticus	species
Geoalkalibacter subterraneus	Geoalkalibacter subterraneus	species
Geobacillus jurassicus	Geobacillus jurassicus	species
Geobacillus kaustophilus	Geobacillus kaustophilus	species
Geobacillus lituanicus	Geobacillus lituanicus	species
Geobacillus stearothermophilus	Geobacillus stearothermophilus	species
Geobacillus subterraneus	Geobacillus subterraneus	species
Geobacillus thermocatenulatus	Geobacillus thermocatenulatus	species
Geobacillus thermodenitrificans	Geobacillus thermodenitrificans	species
Geobacillus thermoleovorans	Geobacillus thermoleovorans	species
Geobacillus uzenensis	Geobacillus uzenensis	species
Geobacter anodireducens	Geobacter anodireducens	species
Geobacter argillaceus	Geobacter argillaceus	species
Geobacter bemidjiensis	Geobacter bemidjiensis	species
Geobacter bremensis	Geobacter bremensis	species
Geobacter chapellei	Geobacter chapellei	species
Geobacter daltonii	Geobacter daltonii	species
Geobacter grbiciae	Geobacter grbiciae	species
Geobacter humireducens	Geobacter humireducens	species
Geobacter hydrogenophilus	Geobacter hydrogenophilus	species
Geobacter lovleyi	Geobacter lovleyi	species
Geobacter metallireducens	Geobacter metallireducens	species
Geobacter pelophilus	Geobacter pelophilus	species
Geobacter pickeringii	Geobacter pickeringii	species
Geobacter psychrophilus	Geobacter psychrophilus	species
Geobacter sulfurreducens	Geobacter sulfurreducens	species
Geobacter thiogenes	Geobacter thiogenes	species
Geobacter toluenoxydans	Geobacter toluenoxydans	species
Geobacter uraniireducens	Geobacter uraniireducens	species
Geoglobus acetivorans	Geoglobus acetivorans	species
Geoglobus ahangari	Geoglobus ahangari	species
Geopsychrobacter electrodiphilus	Geopsychrobacter electrodiphilus	species
Georgenia muralis	Georgenia muralis	species
Georgenia thermotolerans	Georgenia thermotolerans	species
Georgfuchsia toluolica	Georgfuchsia toluolica	species
Geothermobacter ehrlichii	Geothermobacter ehrlichii	species
Geothermobacterium ferrireducens	Geothermobacterium ferrireducens	species
Geothrix fermentans	Geothrix fermentans	species
Geotoga petraea	Geotoga petraea	species
Geovibrio ferrireducens	Geovibrio ferrireducens	species
Geovibrio thiophilus	Geovibrio thiophilus	species
Gibbsiella greigii	Gibbsiella greigii	species
Gibbsiella quercinecans	Gibbsiella quercinecans	species
Gillisia hiemivivida	Gillisia hiemivivida	species
Gillisia mitskevichiae	Gillisia mitskevichiae	species
Gillisia sandarakina	Gillisia sandarakina	species
Gilvibacter sediminis	Gilvibacter sediminis	species
Globicatella sulfidifaciens	Globicatella sulfidifaciens	species
Gluconacetobacter diazotrophicus	Gluconacetobacter diazotrophicus	species
Glycomyces harbinensis	Glycomyces harbinensis	species
Glycomyces rutgersensis	Glycomyces rutgersensis	species
Goodfellowiella coeruleoviolacea	Goodfellowiella coeruleoviolacea	species
Gordonia	Gordonia	genus
Gordonia aichiensis	Gordonia aichiensis	species
Gordonia alkanivorans	Gordonia alkanivorans	species
Gordonia amarae	Gordonia amarae	species
Gordonia bronchialis	Gordonia bronchialis	species
Gordonia desulfuricans	Gordonia desulfuricans	species
Gordonia lacunae	Gordonia lacunae	species
Gordonia malaquae	Gordonia malaquae	species
Gordonia namibiensis	Gordonia namibiensis	species
Gordonia paraffinivorans	Gordonia paraffinivorans	species
Gordonia polyisoprenivorans	Gordonia polyisoprenivorans	species
Gordonia rubripertincta	Gordonia rubripertincta	species
Gordonia shandongensis	Gordonia shandongensis	species
Gordonia sihwensis	Gordonia sihwensis	species
Gordonia sinesedis	Gordonia sinesedis	species
Gordonia soli	Gordonia soli	species
Gordonia sputi	Gordonia sputi	species
Gordonia terrae	Gordonia terrae	species
Gordonia westfalica	Gordonia westfalica	species
Gracilibacillus dipsosauri	Gracilibacillus dipsosauri	species
Gracilibacillus halotolerans	Gracilibacillus halotolerans	species
Gracilibacillus ureilyticus	Gracilibacillus ureilyticus	species
Gracilibacter thermotolerans	Gracilibacter thermotolerans	species
Granulicatella adiacens	Granulicatella adiacens	species
Granulosicoccus antarcticus	Granulosicoccus antarcticus	species
Haemophilus aegyptius	Haemophilus aegyptius	species
Haemophilus haemoglobinophilus	Haemophilus haemoglobinophilus	species
Haemophilus influenzae	Haemophilus influenzae	species
Haemophilus parahaemolyticus	Haemophilus parahaemolyticus	species
Hafnia	Hafnia	genus
Hafnia alvei	Hafnia alvei	species
Halanaerobiales	Halanaerobiales	order
Halanaerobium acetethylicum	Halanaerobium acetethylicum	species
Halanaerobium congolense	Halanaerobium congolense	species
Halanaerobium fermentans	Halanaerobium fermentans	species
Halanaerobium kushneri	Halanaerobium kushneri	species
Halanaerobium lacusrosei	Halanaerobium lacusrosei	species
Halanaerobium praevalens	Halanaerobium praevalens	species
Halanaerobium saccharolyticum	Halanaerobium saccharolyticum	species
Halanaerobium salsuginis	Halanaerobium salsuginis	species
Halarsenatibacter silvermanii	Halarsenatibacter silvermanii	species
Haloarcula californiae	Haloarcula californiae	species
Haloarcula japonica	Haloarcula japonica	species
Haloarcula marismortui	Haloarcula marismortui	species
Haloarcula quadrata	Haloarcula quadrata	species
Haloarcula vallismortis	Haloarcula vallismortis	species
Halobacterium noricense	Halobacterium noricense	species
Halobacterium salinarum	Halobacterium salinarum	species
Halobacteroidaceae	Halobacteroidaceae	family
Halobaculum gomorrense	Halobaculum gomorrense	species
Halochromatium salexigens	Halochromatium salexigens	species
Halococcus morrhuae	Halococcus morrhuae	species
Halococcus saccharolyticus	Halococcus saccharolyticus	species
Halococcus salifodinae	Halococcus salifodinae	species
Haloferax denitrificans	Haloferax denitrificans	species
Haloferax volcanii	Haloferax volcanii	species
Halogranum salarium	Halogranum salarium	species
Halolamina pelagica	Halolamina pelagica	species
Halomicroarcula pellucida	Halomicroarcula pellucida	species
Halomonas organivorans	Halomonas organivorans	species
Halorhodospira abdelmalekii	Halorhodospira abdelmalekii	species
Halorhodospira halochloris	Halorhodospira halochloris	species
Halorhodospira halophila	Halorhodospira halophila	species
Halorhodospira neutriphila	Halorhodospira neutriphila	species
Halorubrum rubrum	Halorubrum rubrum	species
Haloterrigena turkmenica	Haloterrigena turkmenica	species
Hasllibacter halocynthiae	Hasllibacter halocynthiae	species
Helcobacillus massiliensis	Helcobacillus massiliensis	species
Helicobacter aurati	Helicobacter aurati	species
Helicobacter bilis	Helicobacter bilis	species
Helicobacter canadensis	Helicobacter canadensis	species
Helicobacter canis	Helicobacter canis	species
Helicobacter cholecystus	Helicobacter cholecystus	species
Helicobacter cinaedi	Helicobacter cinaedi	species
Helicobacter felis	Helicobacter felis	species
Helicobacter fennelliae	Helicobacter fennelliae	species
Helicobacter ganmani	Helicobacter ganmani	species
Helicobacter hepaticus	Helicobacter hepaticus	species
Helicobacter mesocricetorum	Helicobacter mesocricetorum	species
Helicobacter muridarum	Helicobacter muridarum	species
Helicobacter mustelae	Helicobacter mustelae	species
Helicobacter pametensis	Helicobacter pametensis	species
Helicobacter pullorum	Helicobacter pullorum	species
Helicobacter pylori	Helicobacter pylori	species
Helicobacter rodentium	Helicobacter rodentium	species
Helicobacter salomonis	Helicobacter salomonis	species
Helicobacter trogontum	Helicobacter trogontum	species
Helicobacter typhlonius	Helicobacter typhlonius	species
Heliobacterium chlorum	Heliobacterium chlorum	species
Heliorestis convoluta	Heliorestis convoluta	species
Henriciella litoralis	Henriciella litoralis	species
Henriciella marina	Henriciella marina	species
Herbaspirillum autotrophicum	Herbaspirillum autotrophicum	species
Herbaspirillum frisingense	Herbaspirillum frisingense	species
Herbaspirillum rubrisubalbicans	Herbaspirillum rubrisubalbicans	species
Herbaspirillum seropedicae	Herbaspirillum seropedicae	species
Herbiconiux moechotypicola	Herbiconiux moechotypicola	species
Herbinix hemicellulosilytica	Herbinix hemicellulosilytica	species
Herminiimonas arsenicoxydans	Herminiimonas arsenicoxydans	species
Herpetosiphon geysericola	Herpetosiphon geysericola	species
Hespellia porcina	Hespellia porcina	species
Hespellia stercorisuis	Hespellia stercorisuis	species
Hoeflea halophila	Hoeflea halophila	species
Hoeflea marina	Hoeflea marina	species
Hoeflea olei	Hoeflea olei	species
Hoeflea phototrophica	Hoeflea phototrophica	species
Holdemania filiformis	Holdemania filiformis	species
Holophaga foetida	Holophaga foetida	species
Homoserinimonas aerilata	Homoserinimonas aerilata	species
Humibacillus xanthopallidus	Humibacillus xanthopallidus	species
Humitalea rosea	Humitalea rosea	species
Hwanghaeicola aestuarii	Hwanghaeicola aestuarii	species
Hydrocarboniphaga daqingensis	Hydrocarboniphaga daqingensis	species
Hydrocarboniphaga effusa	Hydrocarboniphaga effusa	species
Hydrogenimonas thermophila	Hydrogenimonas thermophila	species
Hydrogenispora ethanolica	Hydrogenispora ethanolica	species
Hydrogenophaga flava	Hydrogenophaga flava	species
Hydrogenophaga palleronii	Hydrogenophaga palleronii	species
Hydrogenophaga pseudoflava	Hydrogenophaga pseudoflava	species
Hydrogenophaga taeniospiralis	Hydrogenophaga taeniospiralis	species
Hydrogenophilus thermoluteolus	Hydrogenophilus thermoluteolus	species
Hydrogenothermus marinus	Hydrogenothermus marinus	species
Hydrogenovibrio	Hydrogenovibrio	genus
Hydrogenovibrio marinus	Hydrogenovibrio marinus	species
Hydrotalea sandarakina	Hydrotalea sandarakina	species
Hymenobacter norwichensis	Hymenobacter norwichensis	species
Hyphomicrobium aestuarii	Hyphomicrobium aestuarii	species
Hyphomicrobium denitrificans	Hyphomicrobium denitrificans	species
Hyphomicrobium zavarzinii	Hyphomicrobium zavarzinii	species
Hyphomonas	Hyphomonas	genus
Hyphomonas adhaerens	Hyphomonas adhaerens	species
Hyphomonas hirschiana	Hyphomonas hirschiana	species
Hyphomonas jannaschiana	Hyphomonas jannaschiana	species
Hyphomonas johnsonii	Hyphomonas johnsonii	species
Hyphomonas neptunium	Hyphomonas neptunium	species
Hyphomonas oceanitis	Hyphomonas oceanitis	species
Hyphomonas rosenbergii	Hyphomonas rosenbergii	species
Iamia majanohamensis	Iamia majanohamensis	species
Ideonella dechloratans	Ideonella dechloratans	species
Ignavigranum ruoffiae	Ignavigranum ruoffiae	species
Ilumatobacter fluminis	Ilumatobacter fluminis	species
Ilyobacter insuetus	Ilyobacter insuetus	species
Intrasporangium calvum	Intrasporangium calvum	species
Intrasporangium mesophilum	Intrasporangium mesophilum	species
Iodobacter fluviatilis	Iodobacter fluviatilis	species
Isoptericola dokdonensis	Isoptericola dokdonensis	species
Isoptericola hypogeus	Isoptericola hypogeus	species
Isoptericola jiangsuensis	Isoptericola jiangsuensis	species
Isoptericola variabilis	Isoptericola variabilis	species
Janibacter anophelis	Janibacter anophelis	species
Janibacter hoylei	Janibacter hoylei	species
Janibacter limosus	Janibacter limosus	species
Janibacter melonis	Janibacter melonis	species
Janibacter terrae	Janibacter terrae	species
Janthinobacterium agaricidamnosum	Janthinobacterium agaricidamnosum	species
Janthinobacterium lividum	Janthinobacterium lividum	species
Jatrophihabitans endophyticus	Jatrophihabitans endophyticus	species
Jatrophihabitans fulvus	Jatrophihabitans fulvus	species
Jatrophihabitans soli	Jatrophihabitans soli	species
Jejudonia soesokkakensis	Jejudonia soesokkakensis	species
Jhaorihella thermophila	Jhaorihella thermophila	species
Jiangella alba	Jiangella alba	species
Jiangella gansuensis	Jiangella gansuensis	species
Jonesia denitrificans	Jonesia denitrificans	species
Joostella marina	Joostella marina	species
Kaistella	Kaistella	genus
Kaistia adipata	Kaistia adipata	species
Kandleria vitulina	Kandleria vitulina	species
Kerstersia gyiorum	Kerstersia gyiorum	species
Kibdelosporangium aridum	Kibdelosporangium aridum	species
Kibdelosporangium philippinense	Kibdelosporangium philippinense	species
Kineococcus aurantiacus	Kineococcus aurantiacus	species
Kineosporia aurantiaca	Kineosporia aurantiaca	species
Kineosporia mikuniensis	Kineosporia mikuniensis	species
Kineosporia rhamnosa	Kineosporia rhamnosa	species
Kineosporia rhizophila	Kineosporia rhizophila	species
Kineosporia succinea	Kineosporia succinea	species
Kingella kingae	Kingella kingae	species
Kitasatospora azatica	Kitasatospora azatica	species
Kitasatospora paracochleata	Kitasatospora paracochleata	species
Kitasatospora putterlickiae	Kitasatospora putterlickiae	species
Kitasatospora sampliensis	Kitasatospora sampliensis	species
Klebsiella	Klebsiella	genus
Klebsiella aerogenes	Klebsiella aerogenes	species
Klebsiella oxytoca	Klebsiella oxytoca	species
Klebsiella pneumoniae	Klebsiella pneumoniae	species
Kocuria carniphila	Kocuria carniphila	species
Kocuria marina	Kocuria marina	species
Kocuria palustris	Kocuria palustris	species
Kocuria polaris	Kocuria polaris	species
Kocuria rosea	Kocuria rosea	species
Kocuria varians	Kocuria varians	species
Kordiimonas gwangyangensis	Kordiimonas gwangyangensis	species
Kosmotoga arenicorallina	Kosmotoga arenicorallina	species
Kurthia zopfii	Kurthia zopfii	species
Kutzneria albida	Kutzneria albida	species
Kutzneria viridogrisea	Kutzneria viridogrisea	species
Kyrpidia tusciae	Kyrpidia tusciae	species
Labedella gwakjiensis	Labedella gwakjiensis	species
Labrenzia aggregata	Labrenzia aggregata	species
Labrenzia alba	Labrenzia alba	species
Labrenzia alexandrii	Labrenzia alexandrii	species
Labrenzia marina	Labrenzia marina	species
Labrys	Labrys	genus
Lacinutrix algicola	Lacinutrix algicola	species
Lacinutrix copepodicola	Lacinutrix copepodicola	species
Lacinutrix mariniflava	Lacinutrix mariniflava	species
Lactobacillus	Lactobacillus	genus
Lactobacillus delbrueckii	Lactobacillus delbrueckii	species
Lactobacillus gasseri	Lactobacillus gasseri	species
Lactobacillus jensenii	Lactobacillus jensenii	species
Lactococcus	Lactococcus	genus
Lactococcus lactis	Lactococcus lactis	species
Lactococcus plantarum	Lactococcus plantarum	species
Lactococcus raffinolactis	Lactococcus raffinolactis	species
Lamprobacter modestohalophilus	Lamprobacter modestohalophilus	species
Lamprocystis	Lamprocystis	genus
Lapillicoccus jejuensis	Lapillicoccus jejuensis	species
Larkinella insperata	Larkinella insperata	species
Lebetimonas acidiphila	Lebetimonas acidiphila	species
Legionella anisa	Legionella anisa	species
Leifsonia aquatica	Leifsonia aquatica	species
Leifsonia bigeumensis	Leifsonia bigeumensis	species
Leifsonia rubra	Leifsonia rubra	species
Leifsonia xyli	Leifsonia xyli	species
Leisingera methylohalidivorans	Leisingera methylohalidivorans	species
Leminorella grimontii	Leminorella grimontii	species
Lentibacillus juripiscarius	Lentibacillus juripiscarius	species
Lentibacillus lacisalsi	Lentibacillus lacisalsi	species
Lentibacillus salarius	Lentibacillus salarius	species
Lentibacillus salicampi	Lentibacillus salicampi	species
Lentzea californiensis	Lentzea californiensis	species
Lentzea kentuckyensis	Lentzea kentuckyensis	species
Lentzea waywayandensis	Lentzea waywayandensis	species
Leptolinea tardivitalis	Leptolinea tardivitalis	species
Leptospirillum ferriphilum	Leptospirillum ferriphilum	species
Leptospirillum ferrodiazotrophum	Leptospirillum ferrodiazotrophum	species
Leptospirillum ferrooxidans	Leptospirillum ferrooxidans	species
Leptospirillum rubarum	Leptospirillum rubarum	species
Leptothrix cholodnii	Leptothrix cholodnii	species
Leptothrix discophora	Leptothrix discophora	species
Leptothrix ochracea	Leptothrix ochracea	species
Leucobacter aridicollis	Leucobacter aridicollis	species
Leucobacter chironomi	Leucobacter chironomi	species
Leucobacter chromiireducens	Leucobacter chromiireducens	species
Leucobacter luti	Leucobacter luti	species
Leuconostoc	Leuconostoc	genus
Leuconostoc mesenteroides	Leuconostoc mesenteroides	species
Levilinea saccharolytica	Levilinea saccharolytica	species
Lewinella antarctica	Lewinella antarctica	species
Limnobacter litoralis	Limnobacter litoralis	species
Limnobacter thiooxidans	Limnobacter thiooxidans	species
Limonium bicolor	Limonium bicolor	species
Listeria grayi	Listeria grayi	species
Listeria monocytogenes	Listeria monocytogenes	species
Litorilinea aerophila	Litorilinea aerophila	species
Loktanella agnita	Loktanella agnita	species
Loktanella fryxellensis	Loktanella fryxellensis	species
Loktanella salsilacus	Loktanella salsilacus	species
Lonepinella koalarum	Lonepinella koalarum	species
Longimonas halophila	Longimonas halophila	species
Longispora albida	Longispora albida	species
Lonsdalea quercina	Lonsdalea quercina	species
Luedemannella flava	Luedemannella flava	species
Luedemannella helvata	Luedemannella helvata	species
Luteipulveratus mongoliensis	Luteipulveratus mongoliensis	species
Luteococcus japonicus	Luteococcus japonicus	species
Luteococcus peritonei	Luteococcus peritonei	species
Luteococcus sanguinis	Luteococcus sanguinis	species
Lutibaculum baratangense	Lutibaculum baratangense	species
Lysinibacillus sphaericus	Lysinibacillus sphaericus	species
Lysinibacillus xylanilyticus	Lysinibacillus xylanilyticus	species
Lysobacter gummosus	Lysobacter gummosus	species
Macromonas bipunctata	Macromonas bipunctata	species
Magnetococcus	Magnetococcus	genus
Magnetospirillum aberrantis	Magnetospirillum aberrantis	species
Magnetospirillum gryphiswaldense	Magnetospirillum gryphiswaldense	species
Magnetospirillum magnetotacticum	Magnetospirillum magnetotacticum	species
Mameliella alba	Mameliella alba	species
Mangrovibacterium diazotrophicum	Mangrovibacterium diazotrophicum	species
Maribacter aquivivus	Maribacter aquivivus	species
Maribacter sedimenticola	Maribacter sedimenticola	species
Maricaulis maris	Maricaulis maris	species
Maricaulis parjimensis	Maricaulis parjimensis	species
Maricaulis salignorans	Maricaulis salignorans	species
Maricaulis virginensis	Maricaulis virginensis	species
Maricaulis washingtonensis	Maricaulis washingtonensis	species
Marichromatium gracile	Marichromatium gracile	species
Maridesulfovibrio salexigens	Maridesulfovibrio salexigens	species
Marihabitans asiaticum	Marihabitans asiaticum	species
Marinilactibacillus piezotolerans	Marinilactibacillus piezotolerans	species
Marinilactibacillus psychrotolerans	Marinilactibacillus psychrotolerans	species
Marinimicrobium haloxylanilyticum	Marinimicrobium haloxylanilyticum	species
Mariniphaga anaerophila	Mariniphaga anaerophila	species
Marinitoga okinawensis	Marinitoga okinawensis	species
Marinobacter hydrocarbonoclasticus	Marinobacter hydrocarbonoclasticus	species
Marinobacter lipolyticus	Marinobacter lipolyticus	species
Marinobacter lutaoensis	Marinobacter lutaoensis	species
Marinobacter maritimus	Marinobacter maritimus	species
Marinobacter nanhaiticus	Marinobacter nanhaiticus	species
Marinobacter santoriniensis	Marinobacter santoriniensis	species
Marinobacterium georgiense	Marinobacterium georgiense	species
Marinobacterium litorale	Marinobacterium litorale	species
Marinobacterium mangrovicola	Marinobacterium mangrovicola	species
Marinomonas mediterranea	Marinomonas mediterranea	species
Marinospirillum minutulum	Marinospirillum minutulum	species
Marinovum algicola	Marinovum algicola	species
Mariprofundus ferrooxydans	Mariprofundus ferrooxydans	species
Maritimibacter alkaliphilus	Maritimibacter alkaliphilus	species
Marivita geojedonensis	Marivita geojedonensis	species
Marixanthomonas ophiurae	Marixanthomonas ophiurae	species
Martelella mangrovi	Martelella mangrovi	species
Martelella mediterranea	Martelella mediterranea	species
Martelella radicis	Martelella radicis	species
Marvinbryantia	Marvinbryantia	genus
Marvinbryantia formatexigens	Marvinbryantia formatexigens	species
Megasphaera elsdenii	Megasphaera elsdenii	species
Meiothermus cerbereus	Meiothermus cerbereus	species
Meiothermus granaticius	Meiothermus granaticius	species
Meiothermus ruber	Meiothermus ruber	species
Meiothermus rufus	Meiothermus rufus	species
Meiothermus silvanus	Meiothermus silvanus	species
Melioribacter roseus	Melioribacter roseus	species
Melittangium lichenicola	Melittangium lichenicola	species
Meridianimaribacter flavus	Meridianimaribacter flavus	species
Mesoflavibacter sabulilitoris	Mesoflavibacter sabulilitoris	species
Mesoflavibacter zeaxanthinifaciens	Mesoflavibacter zeaxanthinifaciens	species
Mesonia phycicola	Mesonia phycicola	species
Mesorhizobium loti	Mesorhizobium loti	species
Metallibacterium scheffleri	Metallibacterium scheffleri	species
Metallosphaera sedula	Metallosphaera sedula	species
Methanobacteriales	Methanobacteriales	order
Methanobacterium aggregans	Methanobacterium aggregans	species
Methanobacterium ferruginis	Methanobacterium ferruginis	species
Methanobacterium kanagiense	Methanobacterium kanagiense	species
Methanobacterium lacus	Methanobacterium lacus	species
Methanobacterium movilense	Methanobacterium movilense	species
Methanobacterium petrolearium	Methanobacterium petrolearium	species
Methanobacterium veterum	Methanobacterium veterum	species
Methanobrevibacter smithii	Methanobrevibacter smithii	species
Methanocellales	Methanocellales	order
Methanococcales	Methanococcales	order
Methanococcoides methylutens	Methanococcoides methylutens	species
Methanococcus aeolicus	Methanococcus aeolicus	species
Methanococcus maripaludis	Methanococcus maripaludis	species
Methanoculleus bourgensis	Methanoculleus bourgensis	species
Methanoculleus marisnigri	Methanoculleus marisnigri	species
Methanoculleus palmolei	Methanoculleus palmolei	species
Methanolinea mesophila	Methanolinea mesophila	species
Methanolinea tarda	Methanolinea tarda	species
Methanomassiliicoccales	Methanomassiliicoccales	order
Methanomassiliicoccus luminyensis	Methanomassiliicoccus luminyensis	species
Methanomicrobiales	Methanomicrobiales	order
Methanopyrales	Methanopyrales	order
Methanoregula boonei	Methanoregula boonei	species
Methanoregula formicica	Methanoregula formicica	species
Methanosarcina acetivorans	Methanosarcina acetivorans	species
Methanosarcina barkeri	Methanosarcina barkeri	species
Methanosarcina mazei	Methanosarcina mazei	species
Methanosarcina thermophila	Methanosarcina thermophila	species
Methanosarcina vacuolata	Methanosarcina vacuolata	species
Methanosarcinales	Methanosarcinales	order
Methanosphaera stadtmanae	Methanosphaera stadtmanae	species
Methanospirillum hungatei	Methanospirillum hungatei	species
Methanothermobacter tenebrarum	Methanothermobacter tenebrarum	species
Methanothermobacter thermautotrophicus	Methanothermobacter thermautotrophicus	species
Methanothermococcus thermolithotrophicus	Methanothermococcus thermolithotrophicus	species
Methylacidiphilum	Methylacidiphilum	genus
Methylacidiphilum fumariolicum	Methylacidiphilum fumariolicum	species
Methylacidiphilum infernorum	Methylacidiphilum infernorum	species
Methylacidiphilum kamchatkense	Methylacidiphilum kamchatkense	species
Methylarcula sp. SPB-6	Methylarcula sp. SPB-6	species
Methylibium petroleiphilum	Methylibium petroleiphilum	species
Methylobacillus	Methylobacillus	genus
Methylobacillus flagellatus	Methylobacillus flagellatus	species
Methylobacillus glycogenes	Methylobacillus glycogenes	species
Methylobacter	Methylobacter	genus
Methylobacter luteus	Methylobacter luteus	species
Methylobacter psychrophilus	Methylobacter psychrophilus	species
Methylobacterium fujisawaense	Methylobacterium fujisawaense	species
Methylobacterium goesingense	Methylobacterium goesingense	species
Methylobacterium radiotolerans	Methylobacterium radiotolerans	species
Methylocaldum	Methylocaldum	genus
Methylocapsa	Methylocapsa	genus
Methylocapsa acidiphila	Methylocapsa acidiphila	species
Methylocapsa aurea	Methylocapsa aurea	species
Methylocella	Methylocella	genus
Methylocella palustris	Methylocella palustris	species
Methylocella silvestris	Methylocella silvestris	species
Methylocella tundrae	Methylocella tundrae	species
Methylococcaceae	Methylococcaceae	family
Methylococcus	Methylococcus	genus
Methylococcus capsulatus	Methylococcus capsulatus	species
Methylococcus mobilis	Methylococcus mobilis	species
Methylocystaceae	Methylocystaceae	family
Methylocystis	Methylocystis	genus
Methylocystis parvus	Methylocystis parvus	species
Methyloferula	Methyloferula	genus
Methyloferula stellata	Methyloferula stellata	species
Methylogaea	Methylogaea	genus
Methyloglobulus morosus	Methyloglobulus morosus	species
Methylohalobius	Methylohalobius	genus
Methylohalomonas lacus	Methylohalomonas lacus	species
Methylomarinovum caldicuralii	Methylomarinovum caldicuralii	species
Methylomarinum	Methylomarinum	genus
Methylomarinum vadi	Methylomarinum vadi	species
Methylomicrobium	Methylomicrobium	genus
Methylomonas	Methylomonas	genus
Methylomonas aurantiaca	Methylomonas aurantiaca	species
Methylomonas clara	Methylomonas clara	species
Methylomonas fodinarum	Methylomonas fodinarum	species
Methylomonas methanica	Methylomonas methanica	species
Methylomonas scandinavica	Methylomonas scandinavica	species
Methylonatrum kenyense	Methylonatrum kenyense	species
Methylophilaceae	Methylophilaceae	family
Methylophilus	Methylophilus	genus
Methylophilus methylotrophus	Methylophilus methylotrophus	species
Methylosarcina	Methylosarcina	genus
Methylosinus	Methylosinus	genus
Methylosinus trichosporium	Methylosinus trichosporium	species
Methylosoma	Methylosoma	genus
Methylosphaera	Methylosphaera	genus
Methylosphaera hansonii	Methylosphaera hansonii	species
Methyloterrigena soli	Methyloterrigena soli	species
Methylothermaceae	Methylothermaceae	family
Methylothermus	Methylothermus	genus
Methylothermus thermalis	Methylothermus thermalis	species
Methylovirgula ligni	Methylovirgula ligni	species
Methylovulum	Methylovulum	genus
Microbacterium aerolatum	Microbacterium aerolatum	species
Microbacterium barkeri	Microbacterium barkeri	species
Microbacterium flavescens	Microbacterium flavescens	species
Microbacterium ginsengiterrae	Microbacterium ginsengiterrae	species
Microbacterium gubbeenense	Microbacterium gubbeenense	species
Microbacterium hydrocarbonoxydans	Microbacterium hydrocarbonoxydans	species
Microbacterium indicum	Microbacterium indicum	species
Microbacterium invictum	Microbacterium invictum	species
Microbacterium keratanolyticum	Microbacterium keratanolyticum	species
Microbacterium ketosireducens	Microbacterium ketosireducens	species
Microbacterium kribbense	Microbacterium kribbense	species
Microbacterium lacticum	Microbacterium lacticum	species
Microbacterium lindanitolerans	Microbacterium lindanitolerans	species
Microbacterium liquefaciens	Microbacterium liquefaciens	species
Microbacterium luteolum	Microbacterium luteolum	species
Microbacterium luticocti	Microbacterium luticocti	species
Microbacterium marinilacus	Microbacterium marinilacus	species
Microbacterium oleivorans	Microbacterium oleivorans	species
Microbacterium oxydans	Microbacterium oxydans	species
Microbacterium paludicola	Microbacterium paludicola	species
Microbacterium phyllosphaerae	Microbacterium phyllosphaerae	species
Microbacterium terrae	Microbacterium terrae	species
Microbacterium terregens	Microbacterium terregens	species
Microbacterium testaceum	Microbacterium testaceum	species
Microbacterium trichothecenolyticum	Microbacterium trichothecenolyticum	species
Microbacterium ulmi	Microbacterium ulmi	species
Microbacterium xylanilyticum	Microbacterium xylanilyticum	species
Microbispora amethystogenes	Microbispora amethystogenes	species
Microbulbifer hydrolyticus	Microbulbifer hydrolyticus	species
Microcella alkaliphila	Microcella alkaliphila	species
Microcella putealis	Microcella putealis	species
