microtrait_hmm-name	microtrait_hmm-dbxref_kegg	microtrait_hmm-dbxref_ec	microtrait_hmm-dbxref_TC	microtrait_hmm-description	microtrait_hmm-notes
pct	K01026	2.8.3.1	NA	propionate CoA-transferase [EC:2.8.3.1]	NA
scpC	K22214	2.8.3.-	NA	propionyl-CoA:succinyl-CoA transferase [EC:2.8.3.-]	NA
ahy	K20625	4.2.1.112	NA	acetylene hydratase [EC:4.2.1.112]	NA
graA	K20942	1.14.14.27	NA	resorcinol 4-hydroxylase (FADH2) [EC:1.14.14.27]	NA
gldA	K00005	1.1.1.6	NA	glycerol dehydrogenase [EC:1.1.1.6]	NA
dak	K00863	2.7.1.28;2.7.1.29;4.6.1.15	NA	triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing) [EC:2.7.1.28 2.7.1.29 4.6.1.15]	NA
dhbE	K06122	4.2.1.30	NA	glycerol dehydratase small subunit [EC:4.2.1.30]	NA
dhaC	K06121	4.2.1.30	NA	glycerol dehydratase medium subunit [EC:4.2.1.30]	NA
dhaB	K06120	4.2.1.30	NA	glycerol dehydratase large subunit [EC:4.2.1.30]	NA
dhaT	K00086	1.1.1.202	NA	1,3-propanediol dehydrogenase [EC:1.1.1.202]	NA
uxaC	K01812	5.3.1.12	NA	glucuronate isomerase [EC:5.3.1.12]	NA
uxaB	K00041	1.1.1.58	NA	tagaturonate reductase [EC:1.1.1.58]	NA
uxaA	K01685	4.2.1.7	NA	altronate hydrolase [EC:4.2.1.7]	NA
galM	K01785	5.1.3.3	NA	aldose 1-epimerase [EC:5.1.3.3]	NA
galK	K00849	2.7.1.6	NA	galactokinase [EC:2.7.1.6]	NA
galT	K00965	2.7.7.12	NA	UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]	NA
galE	K01784	5.1.3.2	NA	UDP-glucose 4-epimerase [EC:5.1.3.2]	NA
capD	K17716	5.1.3.2	NA	UDP-glucose 4-epimerase [EC:5.1.3.2]	NA
manA	K01809	5.3.1.8	NA	mannose-6-phosphate isomerase [EC:5.3.1.8]	NA
fucI	K01818	5.3.1.25;5.3.1.3	NA	L-fucose/D-arabinose isomerase [EC:5.3.1.25 5.3.1.3]	NA
fucK	K00879	2.7.1.51	NA	L-fuculokinase [EC:2.7.1.51]	NA
fucA	K01628	4.1.2.17	NA	L-fuculose-phosphate aldolase [EC:4.1.2.17]	NA
scrK	K00847	2.7.1.4	NA	fructokinase [EC:2.7.1.4]	NA
fruK	K00882	2.7.1.56	NA	1-phosphofructokinase [EC:2.7.1.56]	NA
uxuB	K00040	1.1.1.57	NA	fructuronate reductase [EC:1.1.1.57]	NA
uxuA	K01686	4.2.1.8	NA	mannonate dehydratase [EC:4.2.1.8]	NA
hicdh	K17753	1.1.1.286	NA	HICDH; isocitrate--homoisocitrate dehydrogenase [EC:1.1.1.286] 	NA
pdhD	K00382	1.8.1.4	NA	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4] 	NA
ogdh	K00164	1.2.4.2	NA	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2] 	NA
dlst	K00658	2.3.1.61	NA	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]	NA
aceA	K01637	4.1.3.1	NA	isocitrate lyase [EC:4.1.3.1]	NA
aceB	K01638	2.3.3.9	NA	aceB, glcB; malate synthase [EC:2.3.3.9] 	NA
gltA	K01647	2.3.3.1	NA	CS, gltA; citrate synthase [EC:2.3.3.1] 	NA
crs	K05942	2.3.3.3	NA	E2.3.3.3; citrate (Re)-synthase [EC:2.3.3.3] 	NA
flgN	K02399	NA	NA	flagella synthesis protein FlgN	NA
flgA	K02386	NA	NA	flagella basal body P-ring formation protein FlgA	NA
flgM	K02398	NA	NA	negative regulator of flagellin synthesis FlgM	NA
fliA	K02405	NA	NA	RNA polymerase sigma factor for flagellar operon FliA	NA
flhC	K02402	NA	NA	flagellar transcriptional activator FlhC	NA
flhD	K02403	NA	NA	flagellar transcriptional activator FlhD	NA
fliH	K02411	NA	NA	flagellar assembly protein FliH	NA
fliI	K02412	7.4.2.8	NA	flagellum-specific ATP synthase [EC:7.4.2.8]	NA
fliO	K02418	NA	NA	flagellar protein FliO/FliZ	NA
fliQ	K02420	NA	NA	flagellar biosynthetic protein FliQ	NA
fliP	K02419	NA	NA	flagellar biosynthetic protein FliP	NA
fliR	K02421	NA	NA	flagellar biosynthetic protein FliR	NA
flhA	K02400	NA	NA	flagellar biosynthesis protein FlhA	NA
flhB	K02401	NA	NA	flagellar biosynthetic protein FlhB	NA
fliRflhB	K13820	NA	NA	flagellar biosynthetic protein FliR/FlhB	NA
fliM	K02416	NA	NA	flagellar motor switch protein FliM	NA
fliN	K02417	NA	NA	flagellar motor switch protein FliN	NA
fliF	K02409	NA	NA	flagellar M-ring protein FliF	NA
fliG	K02410	NA	NA	flagellar motor switch protein FliG	NA
fliE	K02408	NA	NA	flagellar hook-basal body complex protein FliE	NA
flgB	K02387	NA	NA	flagellar basal-body rod protein FlgB	NA
flgC	K02388	NA	NA	flagellar basal-body rod protein FlgC	NA
flgH	K02393	NA	NA	flagellar L-ring protein precursor FlgH	NA
flgI	K02394	NA	NA	flagellar P-ring protein precursor FlgI	NA
flgF	K02391	NA	NA	flagellar basal-body rod protein FlgF	NA
flgG	K02392	NA	NA	flagellar basal-body rod protein FlgG	NA
flgE	K02390	NA	NA	flagellar hook protein FlgE	NA
fliK	K02414	NA	NA	flagellar hook-length control protein FliK	NA
flgD	K02389	NA	NA	flagellar basal-body rod modification protein FlgD	NA
flgL	K02397	NA	NA	flagellar hook-associated protein 3 FlgL	NA
flgK	K02396	NA	NA	flagellar hook-associated protein 1 FlgK	NA
fliC	K02406	NA	NA	flagellin	NA
fliD	K02407	NA	NA	flagellar hook-associated protein 2	NA
motA	K02556	NA	1.A.30.1	chemotaxis protein MotA	NA
motB	K02557	NA	1.A.30.1	chemotaxis protein MotB	NA
treS1	K05343	5.4.99.16;3.2.1.1	NA	maltose alpha-D-glucosyltransferase / alpha-amylase [EC:5.4.99.16 3.2.1.1]	NA
malQ	K00705	2.4.1.25	NA	4-alpha-glucanotransferase [EC:2.4.1.25]	NA
jgt	K22451	2.4.1.25	NA	4-alpha-glucanotransferase [EC:2.4.1.25]	NA
glk	K00845	2.7.1.2	NA	glk; glucokinase [EC:2.7.1.2] 	NA
pgi	K01810	5.3.1.9	NA	GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9] 	NA
pgi_arch	K06859	5.3.1.9	NA	pgi1; glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9] 	NA
pgi-tal	K13810	2.2.1.2;5.3.1.9	NA	tal-pgi; transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9] 	NA
pgi-pmi	K15916	5.3.1.9;5.3.1.8	NA	pgi-pmi; glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8] 	NA
pfk	K21071	2.7.1.11;2.7.1.90	NA	ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]	NA
pfkA	K00850	2.7.1.11	NA	6-phosphofructokinase 1 [EC:2.7.1.11] 	NA
