microtrait_hmm-dbxref_kegg	microtrait_hmm-dbxref_kegg_score	microtrait_hmm-dbxref_kegg_fscore	microtrait_hmm-dbxref_kegg_tpr	microtrait_hmm-dbxref_kegg_tnr	microtrait_hmm-dbxref_kegg_fpr	microtrait_hmm-dbxref_kegg_fnr	microtrait_hmm-dbxref_kegg_accuracy
K00830	415.7	0.963939	0.93039	1.000	0.00e+00	0.06961	1.00e+00
K00845	143.7	0.740345	0.968577	1.000	3.97e-04	0.031423	0.999584
K00847	185.0	0.689708	0.574402	1.000	4.47e-05	0.426	0.99975
K00849	158.0	0.991304	0.989493	1.000	1.89e-06	0.010507	0.999995
K00850	338.7	0.770077	0.879029	1	1.22e-04	0.120971	0.999842
K00855	139.7	0.998435	0.99687	1.000	0.00e+00	0.00313	1.000000
K00860	97.2	0.790958	0.992697	1.000	1.16e-04	0.007303	0.999882
K00863	486.7	0.829500	0.75469	1	5.67e-06	0.2453	1.00e+00
K00873	31.9	0.999450	0.999267	1	2.52e-07	0.000733	0.999999
K00879	286.0	0.982524	0.96565	1.000	0.00e+00	0.0344	0.999999
K00882	308.6	0.874549	0.848140	1.000	2.63e-05	0.151860	0.999930
K00918	206.7	1.00000	1.00000	1	0.00e+00	0.00000	1e+00
K00925	118.6	0.954946	0.993965	1	4.40e-05	0.006035	0.999953
K00927	100.2	0.999892	1.000000	1	1.26e-07	0.000000	1.000000
K00929	222.2	1.000000	1.00000	1.000	0.00e+00	0.00000	1.00e+00
K00931	75.2	0.998354	0.996986	1.000	1.26e-07	0.003014	1.00000
K00932	593.9	9.98e-01	0.9958	1.000	0.00e+00	0.0042	1.00000
K00948	55.4	1.00000	1.000000	1.000	0.00e+00	0.000000	1.000000
K00955	724.3	0.905136	0.83038	1.000	5.04e-07	0.16962	0.999980
K00956	509.4	0.79561	0.984095	1.000	9.31e-05	0.015905	0.99990
K00957	134.1	0.997972	0.995953	1	0.00e+00	0.004047	0.999999
K00958	139.0	0.997211	0.99777	1	3.78e-07	0.00223	0.999999
K00962	266.3	0.998909	0.997820	1.000	0.00e+00	0.002180	1.00000
K00965	40.0	0.985990	0.97937	1	1.89e-06	0.02063	0.999993
K01006	331.6	0.987477	0.975263	1.000	0.00e+00	0.024737	0.999995
K01007	299.1	0.908888	0.928595	1.000	4.43e-05	0.07141	0.999928
K01011	72.5	0.957134	0.986287	1.000	3.56e-05	0.013713	0.999958
K01026	695.0	9.38e-01	0.90000	1.000	8.81e-07	0.10000	1.00e+00
K01034	300.3	0.939834	0.89881	1.000	8.81e-07	0.10119	1.00e+00
K01035	318.6	8.99e-01	0.88918	1.000	4.28e-06	0.11082	1.00e+00
K01057	116.3	0.996216	0.99622	1	1.01e-06	0.003784	0.999998
K01077	68.7	0.987342	0.983193	1	2.14e-06	0.0168	0.999994
K01083	65.3	0.994138	0.99531	1	3.78e-07	0.00469	1.00e+00
K01086	593.1	9.25e-01	0.8611	1	0.00e+00	0.1389	1.00e+00
K01087	193.0	0.948166	0.957327	1.000	9.70e-06	0.042673	0.999984
K01093	366.2	9.62e-01	0.93162	1	2.52e-07	0.06838	1.00e+00
K01113	85.1	0.991597	0.992238	1	1.76e-06	0.00776	0.999997
K01255	396.3	0.978309	0.961290	1	2.14e-06	0.038710	0.999977
K01256	34.3	0.980684	0.998761	1	1.55e-05	0.00124	0.999984
K01258	148.9	0.998561	0.997946	1.000	2.52e-07	0.002054	0.999999
K01259	157.0	0.933652	0.94413	1.000	2.24e-05	0.05587	0.999962
K01261	419.9	9.86e-01	0.97973	1	2.52e-07	0.02027	1.00e+00
K01262	204.3	0.865309	0.917191	1.000	1.22e-04	0.08281	0.999829
K01263	884.1	9.81e-01	0.9630	1	0.00e+00	0.0370	1.0e+00
K01265	140.3	0.99609	0.99370	1.000	1.26e-06	0.00630	0.999993
K01266	21.3	0.984738	0.98018	1	1.01e-06	0.0198	1.00e+00
K01269	200.1	8.33e-01	0.714	1	0.00e+00	0.286	1.00e+00
K01270	225.8	0.99309	0.987777	1.000	2.52e-07	0.012223	0.999998
K01271	280.7	0.648463	0.941372	1.000	1.82e-04	0.05863	0.999807
K01274	398.7	8.85e-01	0.9787	1.000	1.38e-06	0.0213	1.00e+00
K01281	180.4	1.000000	1.00000	1	0.00e+00	0.00000	1.00e+00
K01284	726.0	0.989443	0.979813	1	1.26e-07	0.020187	0.999996
K01286	191.7	0.625038	0.505340	1.000	2.90e-05	0.4947	0.999843
K01295	233.2	0.998370	0.99675	1.000	0.00e+00	0.00325	1.000000
K01297	34.7	1.000000	1.00000	1	0.00e+00	0.00000	1.000000
K01299	70.9	0.99961	1.000000	1	1.26e-07	0.000000	1.00000
K01304	29.1	1.000000	1.00000	1	0.00e+00	0.00000	1.000000
K01305	153.2	9.99e-01	0.99743	1.000	0.00e+00	0.00257	1.000000
K01308	151.0	9.98e-01	0.99567	1	0.00e+00	0.00433	1.00e+00
K01318	189.5	9.92e-01	0.984	1.000	0.00e+00	0.016	1.00e+00
K01337	366.1	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K01338	216.6	0.944476	0.895765	1.000	6.30e-07	0.10423	0.99994
K01340	309.1	1.00e+00	1.0	1	0.00e+00	0.0	1.00e+00
K01342	429.0	7.59e-01	0.6406	1	7.55e-07	0.35938	1.00e+00
K01347	714.4	9.00e-01	0.83333	1	2.52e-07	0.16667	1.00e+00
K01354	506.0	0.990616	0.981406	1	0.00e+00	0.018594	0.999996
K01355	380.1	9.44e-01	0.8939	1	0.00e+00	0.1061	1.00e+00
K01356	125.7	0.970837	0.951959	1.000	4.03e-06	0.048041	0.99997
K01358	60.9	0.999609	0.999218	1.000	0.00e+00	0.000782	0.999999
K01361	826.8	9.44e-01	0.89320	1	0.00e+00	0.1068	1.00e+00
K01364	522.0	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K01372	45.3	0.99874	0.99874	1	1.26e-07	0.00126	1e+00
K01385	94.4	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K01387	133.5	0.99748	0.99748	1	1.26e-07	0.00252	1e+00
K01390	2408.2	1.00e+00	1.0000	1	0.00e+00	0.0000	1.00e+00
K01399	557.6	5.00e-01	0.9531	1	1.50e-05	0.0469	1.00e+00
K01400	576.2	7.20e-01	0.5677	1	3.78e-07	0.4323	1.00e+00
K01401	702.8	9.87e-01	0.975	1	0.00e+00	0.0253	1.00e+00
K01406	181.6	9.74e-01	0.98885	1	1.38e-06	0.01115	1.00e+00
K01407	730.0	1.000000	1.00000	1	0.00e+00	0.00000	1.00e+00
K01408	229.1	3.48e-01	0.98246	1	5.26e-05	0.01754	1.00e+00
K01414	800.6	0.969292	0.942245	1	3.78e-07	0.057755	0.999988
K01416	140.7	1.00e+00	1.00000	1	0.00e+00	0.00000	1.00e+00
K01419	83.6	0.999448	0.998897	1	0.00e+00	0.001103	1.000000
K01423	136.7	0.966196	0.941495	1.000	1.89e-06	0.058505	0.999983
K01425	35.2	1.000000	1.000000	1	0.00e+00	0.00000	1.000000
K01428	63.1	0.99946	1.000000	1.000	2.52e-07	0.000000	1.000000
K01429	131.4	0.938862	0.987898	1	2.30e-05	0.012102	0.999975
K01430	146.5	0.952351	0.944652	1	7.93e-06	0.055348	0.999981
K01434	410.5	0.931918	0.946468	1	1.44e-05	0.053532	0.999977
K01436	500.1	0.821844	0.75000	1.000	5.79e-06	0.25000	1.00e+00
K01439	272.4	0.906348	0.874575	1.000	2.87e-05	0.125425	0.999906
K01442	32.2	0.968592	1.000000	1	1.02e-05	0.000000	0.999990
K01451	482.6	0.973079	0.98800	1.000	4.03e-06	0.01200	1.00e+00
K01476	176.6	0.969194	0.962353	1.000	3.78e-06	0.037647	0.999990
K01491	38.5	0.999789	0.999578	1.000	0.00e+00	0.000422	1.000000
K01499	298.2	1.00e+00	1.00000	1	0.00e+00	0.00000	1.00e+00
K01500	117.0	0.961165	0.990	1	4.41e-06	0.010	1.00e+00
K01568	555.6	3.11e-01	1.0000	1.000	3.97e-05	0.0000	1.00e+00
K01574	80.1	1.000000	1.00000	1	0.00e+00	0.00000	1.00e+00
K01575	49.7	1.000000	1.000000	1	0.00e+00	0.000000	1.000000
K01580	210.9	0.932701	0.930937	1.000	8.69e-06	0.069063	0.999982
K01581	195.9	0.927218	0.876256	1.000	2.77e-06	0.1237	1.0000
K01582	548.8	0.891667	0.89273	1.000	1.16e-05	0.10727	0.999977
K01584	908.9	0.912395	0.83890	1	0.00e+00	0.16110	0.999983
K01585	275.0	0.979470	0.966667	1.000	1.39e-06	0.033333	0.999992
K01595	14.0	0.985128	0.974118	1	1.13e-06	0.0259	0.999991
K01596	131.8	1.000000	1.00000	1	0.00e+00	0.00000	1.000000
K01601	391.3	0.94429	0.92175	1	2.90e-06	0.07825	1.00e+00
K01602	123.9	9.60e-01	0.99359	1	3.02e-06	0.00641	1.00e+00
K01610	66.8	0.999764	0.999528	1.000	0.00e+00	0.000472	1.000000
K01621	49.3	1.000000	1.00000	1	0.00e+00	0.00000	1.000000
K01623	24.2	1.000000	1.00000	1	0.00e+00	0.00000	1.00e+00
K01624	68.4	0.933005	1.000000	1	8.57e-05	0.000000	0.999914
K01625	181.2	0.971924	0.953280	1.000	3.40e-06	0.046720	0.999978
K01628	195.7	0.807027	0.739775	1	2.30e-05	0.260225	0.999913
K01637	122.8	0.997738	0.995986	1	1.26e-07	0.00401	0.999999
K01638	49.6	0.980637	0.963229	1	3.78e-07	0.0368	0.999989
K01643	93.6	0.99926	1.00000	1	1.26e-07	0.00000	1.00e+00
K01644	147.1	0.920284	0.993186	1.000	6.11e-05	0.006814	0.99994
K01646	56.9	0.996215	1.00000	1	6.30e-07	0.00000	1.00e+00
K01647	20.8	0.907211	0.998104	1	1.34e-04	0.00190	0.999864
K01652	485.6	0.849050	0.822349	1.000	1.30e-04	0.177651	0.99967
K01653	40.0	0.99397	0.98875	1.000	3.78e-07	0.01125	0.999994
K01676	336.5	0.99523	0.9905	1	0.00e+00	0.009501	0.999997
K01677	293.9	0.926523	0.87627	1	1.13e-06	0.12373	1.00e+00
K01678	206.3	0.846018	0.83421	1	9.95e-06	0.16579	1.00e+00
K01679	600.7	0.980602	0.964133	1.000	1.01e-06	0.035867	0.999983
K01681	315.7	0.920103	0.992770	1.000	7.48e-05	0.007230	0.999922
K01682	418.3	0.999334	0.99867	1.000	0.00e+00	0.001332	1.000000
K01685	563.1	0.924692	0.90125	1	6.80e-06	0.09875	0.999979
K01686	80.5	0.999642	0.999285	1	0.00e+00	0.000715	1.000000
K01689	51.1	1.000000	1.000000	1	0.00e+00	0.000000	1.000000
K01690	420.4	0.997889	0.995787	1.000	0.00e+00	0.004213	0.999999
K01715	345.3	0.727955	0.66974	1.000	1.86e-05	0.33026	0.999945
K01729	38.7	0.860670	0.77707	1	1.13e-06	0.223	1.00e+00
K01750	250.9	0.67873	0.90541	1.000	4.97e-05	0.09459	1.00e+00
K01782	721.7	0.941860	0.891262	1.000	2.52e-07	0.108738	0.999979
K01783	58.6	0.966218	0.998338	1.000	4.13e-05	0.001662	0.999958
K01784	296.5	0.811994	0.718341	1.000	4.66e-05	0.281659	0.999696
K01785	75.8	0.997420	0.995993	1	5.04e-07	0.004007	1.00000
K01795	189.2	9.92e-01	0.98333	1	0.00e+00	0.01667	1.00e+00
K01803	26.0	0.986561	0.999794	1	1.65e-05	0.000206	0.99998
K01807	65.0	0.999507	0.999671	1	2.52e-07	0.000329	1.000000
K01808	155.0	0.936865	0.92512	1	1.75e-05	0.074884	0.999956
K01809	31.5	0.97067	0.945133	1	7.56e-07	0.0549	0.999981
K01810	42.3	0.984916	0.997932	1	1.56e-05	0.00207	0.999983
K01812	47.4	1.000000	1.000000	1	0.00e+00	0.000000	1.000000
K01818	96.5	1.000000	1.00000	1	0.00e+00	0.00000	1.00e+00
K01825	742.8	0.994521	0.98910	1.000	0.00e+00	0.01090	1.00e+00
K01834	194.4	0.855305	0.775403	1.000	1.71e-05	0.224597	0.999881
K01847	527.2	0.942535	0.891803	1	1.26e-07	0.10820	0.99997
K01895	584.3	0.919287	0.887716	1.000	3.18e-05	0.11228	0.999887
K01902	208.4	0.988079	0.996644	1.000	9.32e-06	0.003356	0.99999
K01903	266.4	0.985892	0.995767	1.000	1.08e-05	0.004233	0.999987
K01915	35.4	0.980615	0.999518	1	4.08e-05	0.000482	0.99996
K01938	106.4	0.999144	1.000000	1	3.78e-07	0.000000	1.00000
K01951	107.1	0.875770	0.779397	1.000	3.78e-07	0.220603	0.999838
K01953	100.5	0.987169	0.978863	1.000	2.65e-06	0.021137	0.999984
K01958	666.2	0.989091	0.979984	1.000	2.52e-07	0.020016	0.999997
K01959	722.9	8.86e-01	0.88021	1.000	5.16e-06	0.11979	1.00e+00
K01960	742.5	0.714964	0.56579	1.000	1.13e-06	0.43421	0.999970
K01961	654.2	0.93295	0.92325	1.000	2.85e-05	0.076752	0.999933
K01962	77.4	0.999728	0.999455	1	0.00e+00	0.000545	1.000000
K01963	161.4	0.999314	0.998902	1.000	1.26e-07	0.001098	0.999999
K01964	1018.6	1.00e+00	1.0000	1.000	0.00e+00	0.000	1.00e+00
K01989	51.8	0.999711	1.000000	1.000	1.26e-07	0.000000	1.000000
K01990	246.7	0.529055	7.47e-01	0.996	3.63e-03	0.25254	0.99553
K01991	60.9	0.958474	0.99933	1	3.24e-05	0.000669	0.999967
K01992	36.3	7.87e-01	8.35e-01	0.999	9.02e-04	0.165	0.99858
K01995	296.5	0.847757	0.787867	1.000	6.84e-05	0.21213	0.999727
K01996	281.4	0.790397	0.819554	1.000	2.48e-04	0.180446	0.999576
K01997	144.7	0.921079	0.993632	1.000	1.62e-04	0.006368	0.999832
K01998	145.9	0.922219	0.994118	1.000	1.56e-04	0.00588	0.999838
K01999	69.5	0.937747	9.95e-01	1.000	1.71e-04	0.004522	0.99982
K02000	389.8	0.995415	0.992684	1.000	5.04e-07	0.007316	0.999997
K02001	212.7	0.996241	0.992948	1.000	1.26e-07	0.00705	0.999998
K02002	155.8	0.966439	0.942369	1.000	3.40e-06	0.057631	0.999972
K02003	257.9	0.592642	0.788173	0.998	1.66e-03	0.211827	0.99794
K02004	52.7	0.808577	0.948838	0.999	7.80e-04	0.05116	0.99912
K02005	231.9	0.584270	0.648667	1.000	2.11e-04	0.351333	0.999660
K02006	316.1	0.267211	0.518882	1.000	3.94e-04	0.481118	0.999526
K02007	28.9	0.998917	0.999277	1	2.52e-07	0.000723	1.000000
K02008	149.1	0.888247	0.803132	1.000	8.81e-07	0.19687	0.999966
K02009	21.7	0.825248	0.759846	1	1.07e-05	0.240	0.999958
K02010	402.0	0.394997	0.533504	0.999	5.18e-04	0.466496	0.999275
K02011	341.2	0.964608	0.93868	1.000	3.53e-06	0.06132	0.999968
K02012	206.3	0.90522	0.868421	1.000	2.70e-05	0.131579	0.999903
K02013	251.1	0.549585	7.78e-01	0.998	1.58e-03	2.22e-01	0.9981
K02014	47.9	0.763762	9.94e-01	0.999	1.23e-03	0.00604	0.99876
K02015	54.9	0.966157	9.99e-01	1.000	1.35e-04	0.001159	0.99986
K02016	35.2	0.953024	9.99e-01	1.000	1.72e-04	0.001351	0.99983
K02017	356.8	0.628813	0.48621	1.000	2.09e-05	0.513788	0.999801
K02018	235.8	0.919579	0.867234	1.000	7.56e-06	0.13277	0.999939
K02020	96.3	0.933351	0.985614	1.000	5.64e-05	0.014386	0.999937
K02024	267.8	0.975583	0.95856	1	7.56e-07	0.04144	0.999994
K02025	260.6	0.697514	0.823508	0.999	5.48e-04	0.176492	0.99927
K02026	253.4	0.699568	0.807555	0.999	5.13e-04	0.192445	0.99929
